@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data
56,3.1,0.00,624,0.46,Normal
55,2.7,0.00,505,0.38,Normal
57,2.2,0.00,343,0.25,Normal
62,1.8,0.00,142,0.13,Normal
73,0.4,0.00,10,0.03,Normal
79,0.0,0.00,0,0.03,Frio
80,0.0,0.00,0,0.03,Frio
84,0.0,0.00,0,0.03,Frio
87,0.0,0.00,0,0.00,Frio
86,0.0,0.00,0,0.00,Frio
92,0.0,0.00,0,0.00,Frio
94,0.0,0.00,0,0.00,Frio
91,0.4,0.00,0,0.00,Frio
92,0.9,0.00,0,0.00,Frio
92,0.9,0.00,0,0.00,Frio
94,1.8,0.00,0,0.00,Frio
94,0.4,0.00,0,0.00,Frio
94,0.4,0.00,4,0.00,Frio
88,0.0,0.00,125,0.05,Frio
77,1.8,0.00,343,0.20,Frio
69,3.1,0.00,508,0.33,Normal
65,2.7,0.00,624,0.41,Normal
60,2.2,0.00,685,0.46,Normal
54,1.8,0.00,685,0.46,Normal
53,1.3,0.00,625,0.41,Normal
51,1.3,0.00,509,0.36,Normal
49,1.3,0.00,347,0.25,Normal
54,1.3,0.00,145,0.13,Normal
65,0.4,0.00,9,0.03,Normal
78,0.9,0.00,0,0.03,Normal
85,0.4,0.00,0,0.03,Frio
87,0.4,0.00,0,0.00,Frio
87,0.9,0.00,0,0.03,Frio
88,0.9,0.00,0,0.03,Frio
87,0.9,0.00,0,0.03,Frio
85,1.3,0.00,0,0.03,Frio
85,1.3,0.00,0,0.03,Frio
87,0.9,0.00,0,0.03,Frio
89,1.3,0.00,0,0.03,Frio
92,0.4,0.00,0,0.00,Frio
89,0.4,0.00,0,0.00,Frio
94,0.0,0.00,4,0.00,Frio
84,0.4,0.00,120,0.08,Frio
76,1.3,0.00,326,0.20,Normal
68,1.8,0.00,492,0.30,Normal
64,2.7,0.00,612,0.41,Normal
60,1.8,0.00,621,0.41,Normal
52,1.3,0.00,717,0.43,Normal
54,0.9,0.00,465,0.30,Normal
49,0.9,0.00,525,0.36,Normal
51,1.3,0.00,353,0.25,Normal
57,0.9,0.00,88,0.08,Normal
67,0.0,0.00,14,0.03,Normal
73,0.0,0.00,0,0.03,Normal
78,0.0,0.00,0,0.03,Frio
80,0.0,0.00,0,0.03,Frio
81,0.0,0.00,0,0.03,Frio
87,0.0,0.00,0,0.00,Frio
87,0.0,0.00,0,0.00,Frio
81,0.0,0.00,0,0.00,Frio
84,0.0,0.00,0,0.03,Frio
84,0.0,0.00,0,0.00,Frio
83,0.0,0.00,0,0.00,Frio
88,0.0,0.00,0,0.00,Frio
89,0.0,0.00,0,0.00,Frio
94,0.0,0.00,5,0.00,Frio
88,0.0,0.00,121,0.05,Frio
72,0.4,0.00,319,0.18,Normal
67,1.8,0.00,489,0.30,Normal
63,1.8,0.00,605,0.38,Normal
58,2.7,0.00,627,0.43,Normal
54,2.2,0.00,654,0.46,Normal
45,2.2,0.00,557,0.41,Normal
45,2.2,0.00,498,0.38,Normal
51,2.7,0.00,299,0.25,Normal
59,0.4,0.00,47,0.05,Normal
66,0.0,0.00,11,0.03,Normal
77,0.0,0.00,0,0.03,Normal
74,0.0,0.00,0,0.03,Frio
76,0.0,0.00,0,0.03,Frio
75,0.4,0.00,0,0.03,Frio
85,0.4,0.00,0,0.03,Frio
94,0.0,0.00,0,0.00,Frio
95,0.9,0.00,0,0.00,Frio
94,2.2,0.00,0,0.00,Frio
95,1.8,0.00,0,0.00,Frio
94,1.8,0.00,0,0.00,Frio
93,1.8,0.00,0,0.00,Frio
92,2.7,0.00,0,0.00,Frio
92,2.7,0.00,3,0.00,Frio
87,2.2,0.00,198,0.10,Frio
84,2.7,0.00,355,0.20,Frio
79,3.1,0.00,499,0.28,Frio
71,3.1,0.00,616,0.38,Frio
69,3.6,0.00,678,0.43,Normal
65,3.1,0.00,680,0.43,Normal
63,3.6,0.00,619,0.41,Normal
61,3.6,0.00,502,0.36,Normal
63,3.1,0.00,340,0.25,Normal
67,2.2,0.00,143,0.13,Normal
77,0.9,0.00,9,0.03,Normal
83,0.4,0.00,0,0.03,Frio
88,0.9,0.00,0,0.03,Frio
