@relation estacao-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute umidade numeric
@attribute velocidade_vento numeric
@attribute chuva numeric
@attribute radicao_solar numeric
@attribute et numeric
@attribute classe {Frio,Normal,Quente}

@data
0.877193,0.688889,0,0.268886,0.254902,Frio
0.824561,0.688889,0,0.275288,0.254902,Normal
0.77193,0.688889,0,0.252241,0.254902,Normal
0.684211,0.6,0,0.403329,0.45098,Normal
0.649123,0.6,0,0.303457,0.352941,Normal
0.491228,0.488889,0,0.4379,0.45098,Normal
0.491228,0.688889,0,0.201024,0.294118,Normal
0.842105,0.288889,0,0.014085,0.058824,Normal
0.929825,0.088889,0,0,0,Frio
0.877193,0.4,0,0,0,Frio
0.929825,0.6,0,0,0,Frio
0.982456,0.4,0,0,0,Frio
1,0.288889,0,0,0,Frio
1,0.2,0,0,0,Frio
1,0.288889,0.19685,0,0,Frio
1,0.288889,0,0,0,Frio
1,0.4,0,0,0,Frio
1,0.288889,0,0,0,Frio
1,0.288889,0,0,0,Frio
1,0.288889,0,0,0,Frio
1,0.2,0,0.007682,0,Frio
0.982456,0.2,0,0.079385,0.058824,Frio
0.807018,0.488889,0,0.202305,0.196078,Frio
0.684211,0.688889,0,0.509603,0.45098,Normal
0.631579,0.6,0,0.84379,0.745098,Normal
0.508772,0.4,0,0.46991,0.588235,Normal
0.368421,0.288889,0,0.578745,0.647059,Normal
0.333333,0.088889,0,0.825864,0.745098,Normal
0.350877,0.2,0,0.535211,0.54902,Normal
0.350877,0.2,0,0.505762,0.490196,Normal
0.561404,0.288889,0,0.233035,0.254902,Normal
0.666667,0.088889,0,0.024328,0.058824,Normal
0.701754,0.088889,0,0,0.058824,Normal
0.701754,0.088889,0,0,0.058824,Normal
0.789474,0.088889,0,0,0.058824,Frio
0.77193,0.288889,0,0,0.058824,Frio
0.789474,0.288889,0,0,0.058824,Frio
0.842105,0.488889,0,0,0.058824,Frio
0.912281,0.288889,0,0,0,Frio
0.982456,0,0,0,0,Frio
1,0,0,0,0,Frio
1,0,0,0,0,Frio
1,0.088889,0,0,0,Frio
1,0,0,0,0,Frio
1,0.088889,0,0.006402,0,Frio
0.947368,0.2,0,0.176697,0.156863,Frio
0.789474,0.4,0,0.423816,0.352941,Normal
0.77193,0.888889,0,0.498079,0.45098,Normal
0.666667,0.8,0,0.784891,0.745098,Normal
0.631579,0.6,0,0.701665,0.705882,Normal
0.561404,0.4,0,0.478873,0.54902,Normal
0.526316,0.4,0,0.513444,0.588235,Normal
0.508772,0.4,0,0.439181,0.490196,Normal
0.526316,0.4,0,0.352113,0.392157,Normal
0.614035,0.288889,0,0.207426,0.254902,Normal
0.807018,0.088889,0,0.015365,0.058824,Normal
0.824561,0.088889,0,0,0,Frio
0.894737,0.088889,0,0,0,Frio
0.859649,0.088889,0,0,0,Frio
0.894737,0.088889,0,0,0,Frio
0.859649,0.2,0,0,0,Frio
0.929825,0.088889,0,0,0,Frio
0.894737,0.088889,0,0,0,Frio
0.947368,0.2,0,0,0,Frio
0.929825,0.488889,0,0,0,Frio
0.894737,0.6,0,0,0,Frio
0.894737,0.6,0,0,0,Frio
0.947368,0.2,0,0,0,Frio
0.982456,0,0,0.007682,0,Frio
0.842105,0.088889,0,0.194622,0.156863,Frio
0.736842,0.2,0,0.434059,0.352941,Normal
0.649123,0.6,0,0.641485,0.588235,Normal
0.578947,0.8,0,0.787452,0.745098,Normal
