@relation patrocinio-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
76,904.7,2.7,59,2590,Quente
90,904.5,0.8,148,566,Normal
71,903.7,2.6,20,2038,Quente
70,903.6,2.6,359,1280,Quente
81,904,1.2,341,474,Normal
88,904.5,2.1,249,-2,Normal
90,905.6,2.7,136,-3,Normal
96,906.5,0.7,254,-3,Normal
97,906.3,0.2,85,-2,Normal
97,905.9,0.8,31,-2,Normal
97,905.6,0.5,178,-2,Normal
97,905,0,96,-2,Normal
98,904.6,0.1,169,-3,Normal
98,904.3,0,105,-3,Normal
98,904.3,0.3,139,-1,Normal
98,904.6,0.3,154,-2,Normal
98,905,0.2,159,-3,Normal
98,905.6,0.2,187,56,Normal
93,906.5,1.1,34,633,Normal
81,907.1,1,93,1216,Normal
78,907.1,1.6,71,2285,Normal
67,906.9,4.3,16,2981,Quente
63,906.2,3.5,41,3440,Quente
59,905.1,2.7,37,3244,Quente
53,904.1,2.8,1,3079,Quente
57,903.6,3.2,18,2460,Quente
54,903.6,2,45,2004,Quente
59,903.5,2.1,24,960,Quente
67,903.9,1.4,31,603,Quente
88,905.1,2.9,128,4,Normal
87,905.3,0,188,-3,Normal
92,905.9,0.2,130,-3,Frio
93,906.5,0.4,224,-3,Normal
92,907,0.7,238,-3,Normal
96,906.9,1.6,193,-2,Normal
97,906.3,1.1,125,-2,Normal
97,905.6,1,82,-2,Normal
97,905.7,0.4,105,-2,Normal
97,905.6,1.3,141,-2,Normal
97,906.2,0,145,-1,Normal
97,906.8,0.2,108,0,Normal
97,907.3,1.1,70,49,Normal
88,907.9,1.5,48,685,Normal
78,908.5,1.5,113,1716,Normal
74,908.8,2.4,130,2209,Normal
69,908.7,1.8,104,2865,Quente
63,908.3,2,88,3473,Quente
59,907.4,2,117,3573,Quente
56,906.6,2.4,110,3261,Quente
52,906.2,1.6,85,2707,Quente
64,906,1.6,163,1819,Quente
73,906.2,1,243,189,Normal
75,906.4,0.5,78,107,Normal
86,907.1,0.4,54,-3,Normal
89,907.8,0.2,112,-4,Normal
95,908.2,0,128,-4,Normal
93,908.4,1,134,-4,Normal
93,908.4,0.8,144,-4,Normal
95,908.6,0.8,157,-4,Normal
95,908.1,0.8,126,-4,Normal
92,907.7,1.7,131,-4,Normal
93,907.6,0.7,77,-4,Normal
94,907.6,0.4,112,-4,Normal
95,908,0.9,108,-4,Normal
95,908.4,1.2,114,-4,Normal
94,909.2,1.7,121,50,Normal
84,909.6,2.7,106,842,Normal
76,910,2.4,94,1768,Normal
72,910.5,2.9,85,2492,Normal
65,910.1,2.4,101,2623,Quente
62,909.3,2.9,75,2631,Quente
60,908.5,2.4,80,3107,Quente
56,907.9,1.9,83,2422,Quente
58,907.2,2.2,84,2516,Quente
60,906.7,2.1,97,1684,Quente
63,906.6,2,77,1150,Quente
71,906.8,0.2,80,326,Normal
83,907.4,0.3,120,-3,Normal
90,907.7,0.2,300,-4,Normal
85,908.3,0.3,82,-4,Normal
90,908.6,0.5,91,-4,Normal
90,908.9,0.3,106,-4,Normal
90,908.9,0.7,99,-4,Normal
91,908.9,0.6,120,-4,Normal
94,908.4,0.3,94,-4,Normal
91,908.3,1.2,112,-4,Normal
91,908.1,1.5,86,-4,Normal
92,908.2,1.7,83,-4,Normal
94,908.5,1.2,113,-4,Frio
93,908.8,1.1,112,43,Normal
79,909,1.9,71,848,Normal
70,909.5,1.8,80,1771,Normal
61,909.7,3.3,47,2530,Quente
57,909.5,2.8,44,3126,Quente
55,908.9,3.6,33,2819,Quente
50,908.1,1.8,77,3628,Quente
49,907.3,1.5,66,3470,Quente
48,906.6,1.4,28,3043,Quente
47,906.2,0.6,198,1922,Quente
60,906.2,2,34,1311,Quente
76,906.3,2.8,322,90,Normal
82,906.1,0.4,42,-2,Normal
90,906.5,0,147,-4,Normal
94,906.9,0,197,-4,Normal
92,907.3,0,236,-3,Normal
94,907.3,0.1,185,-3,Normal
95,907.2,0,76,-4,Normal
93,907,0,124,-3,Normal
96,906.8,0,138,-4,Frio
97,906.8,0,181,-3,Frio
95,906.2,0,180,-4,Frio
95,906.2,0,64,-4,Frio
98,906.4,0.2,206,-4,Frio
98,907.3,0,231,111,Normal
80,907.6,0.1,151,887,Normal
68,908,1.1,122,1748,Normal
62,908.1,1.9,12,2335,Quente
55,907.8,1.8,60,2270,Quente
45,906.9,1.6,44,3365,Quente
46,906.1,1.3,309,2396,Quente
47,905.5,2.6,281,3011,Quente
45,905,2.2,306,3009,Quente
47,904.6,2.8,51,2258,Quente
50,904.7,0.2,350,922,Quente
63,904.8,1.7,309,184,Normal
74,905.1,0,100,-2,Normal
82,905.4,0.3,37,-4,Normal
80,905.8,0,10,-4,Normal
89,905.9,0,20,-4,Normal
95,905.9,0,26,-3,Normal
95,905.6,0.1,273,-3,Normal
95,905.4,0.1,190,-3,Normal
92,905.3,0.2,345,-3,Normal
91,904.8,0,46,-3,Normal
96,904.8,0.2,181,-3,Normal
97,905,0,175,-3,Frio
98,905.5,0,170,-4,Frio
98,906,0,351,60,Normal
86,906.3,0.5,39,598,Normal
62,906.8,2.2,10,1792,Quente
52,906.9,3.2,319,2465,Quente
51,906.6,3,322,3076,Quente
54,906.3,2.6,284,2319,Quente
48,905.6,3.4,302,2942,Quente
46,905,2.4,308,3294,Quente
43,904.6,1.7,342,2695,Quente
40,904.1,1,224,1815,Quente
46,904.1,1.3,222,995,Quente
56,904.3,1.6,247,216,Quente
67,904.4,1.5,295,-3,Normal
73,905.3,0,273,-3,Normal
76,905.6,0,307,-3,Normal
85,906,0,184,-4,Normal
91,906.5,0,200,-4,Normal
91,906.1,0,108,-4,Normal
92,905.7,0,117,-4,Normal
90,905.2,0,37,-4,Normal
96,905.2,0,207,-4,Frio
98,905.4,0,165,-3,Frio
98,905.7,0,74,-3,Frio
97,906.6,0,12,-2,Normal
97,906.9,0,27,68,Normal
72,907.3,0,50,794,Normal
63,907.4,1.7,290,1682,Quente
60,907.1,2.4,311,2432,Quente
53,906.6,1.6,239,2997,Quente
52,905.7,2.1,276,1870,Quente
54,905,0.5,144,2180,Quente
56,904,1.9,319,820,Quente
53,902.9,3,303,1751,Quente
55,902.8,1.6,287,1027,Quente
71,902.7,2.1,11,491,Quente
79,903.2,0.7,279,97,Normal
83,903.9,0.7,244,-3,Normal
91,904.8,0,31,-4,Normal
83,906.2,1.5,211,-3,Normal
89,906.3,0.6,21,-3,Normal
89,905.8,0.5,24,-3,Normal
91,905.4,0.2,173,-3,Normal
96,905.2,0.3,68,-4,Normal
95,905.1,0.4,190,-3,Normal
97,904.3,0.3,17,-3,Normal
95,904.2,0.1,130,-3,Normal
97,904.4,0.7,31,-3,Normal
97,904.8,0,207,-3,Frio
98,905.6,0.1,114,70,Normal
82,906.3,1.6,283,780,Normal
70,906.8,1.3,327,1606,Normal
63,906.8,1.5,271,2363,Quente
59,906.6,1.6,329,2848,Quente
54,905.8,1.1,306,1878,Quente
64,905.3,4.7,28,1530,Quente
54,904.4,3.3,15,3220,Quente
53,904.1,3.7,343,3019,Quente
77,904.8,6.9,235,1399,Normal
93,906,2.5,136,53,Normal
95,905.8,0.6,130,5,Normal
97,906.1,0.2,97,-2,Normal
96,907.4,0.5,332,-3,Normal
96,907.6,0,96,-3,Normal
97,907.6,0.2,164,-3,Normal
98,907.6,0.5,24,-3,Normal
96,907.3,1.2,131,-3,Normal
97,906.7,1.3,148,-4,Normal
95,906.3,0.7,35,-3,Normal
96,906.3,2.2,357,-4,Normal
97,906.3,0.1,245,-3,Normal
98,906.2,0,88,-3,Frio
98,906.5,0.2,136,-3,Frio
98,906.8,0.1,114,61,Frio
87,907.4,0,140,738,Normal
80,907.8,1.6,359,1613,Normal
74,908,3,22,2384,Quente
68,907.6,2.8,27,2585,Quente
63,906.9,2.5,32,2799,Quente
90,906.7,1.5,7,550,Normal
93,905.6,0.5,24,357,Normal
88,904.7,1.1,122,623,Normal
90,904.1,0.7,121,522,Normal
87,905,1.1,61,388,Normal
92,905,3.1,16,69,Normal
93,906.1,1,179,1,Normal
92,907,1.9,144,-1,Normal
94,907.4,0.3,57,-3,Normal
96,907.6,0.6,146,-3,Normal
97,907.5,0.2,56,-3,Normal
95,907.1,0.7,38,-3,Normal
96,906.7,0.8,2,-4,Normal
97,906.4,0,91,-3,Normal
98,906.2,0,272,-2,Normal
98,906.3,0,148,-3,Normal
98,906.4,0.3,74,-3,Normal
98,907,0.7,62,-3,Normal
98,907.4,0.5,51,61,Normal
92,907.8,4.7,40,516,Normal
84,908.2,5,39,1262,Normal
74,908.5,5.3,32,2418,Normal
69,908.1,4.6,36,2723,Quente
66,907.7,4.7,28,2783,Quente
63,907.3,4.8,6,2323,Quente
65,906.5,3.7,24,2677,Quente
59,906,3.4,22,2386,Quente
59,905.5,3.7,358,1487,Quente
61,905.3,2.7,344,1083,Quente
72,905.5,0.1,43,249,Normal
83,906,1.2,23,-4,Normal
86,906.6,2.1,16,-4,Normal
92,907.5,0,66,-4,Normal
94,907.8,0.3,123,-3,Normal
96,907.5,0,195,-4,Normal
95,907.2,0.1,66,-4,Normal
98,907.1,0,261,-4,Normal
97,906.7,0,304,-3,Frio
97,906.5,0.2,152,-2,Normal
97,906.3,0.2,218,-2,Normal
98,906.6,0,185,-2,Normal
98,907,0,93,-3,Normal
98,907.6,0.3,222,102,Normal
96,908.1,0,158,493,Normal
89,908.5,1,149,660,Normal
73,908.3,0.9,74,1774,Normal
66,907.7,1.4,24,2207,Quente
66,906.9,1.8,284,2283,Quente
60,906,1,274,2167,Quente
54,904.7,1.4,345,2993,Quente
53,903.9,1.2,333,1944,Quente
54,903.9,1,285,1445,Quente
