@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1

@attribute umid_inst numeric
@attribute pressao numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
85,903.4,3.3,105,-3.52,Normal
85,903.7,2.9,82,-2.35,Normal
85,904.3,3.7,94,20.34,Normal
80,904.9,4.4,97,306,Normal
70,905.2,4.2,85,1432,Normal
71,905.4,3.8,72,1616,Normal
63,905.4,3.1,54,1818,Normal
59,904.6,3.4,63,2506,Normal
55,903.7,2.8,21,3028,Quente
53,903.1,2,80,1791,Quente
55,902.7,1.4,17,1146,Quente
53,902.3,2.6,318,2337,Quente
50,901.8,1.1,157,1452,Quente
54,901.9,1.4,121,546.2,Quente
64,902.5,4,156,11.33,Normal
81,902.9,0.3,109,-3.48,Normal
79,903.3,1.2,105,-3.54,Normal
80,903.7,1.1,123,-3.54,Normal
77,903.7,1.2,126,-3.53,Normal
74,903.9,2.1,120,-3.28,Normal
80,903.8,3.6,109,-2.04,Normal
83,903.4,4.3,99,-3.54,Normal
85,903.4,3.8,98,-2.89,Normal
85,903.4,3,102,-3.54,Normal
84,903.3,3.9,102,-3.54,Normal
85,903.7,3.3,99,-3.53,Normal
85,904.2,4.8,111,43.47,Normal
82,904.9,4.2,104,281.7,Normal
77,905.5,4.3,100,779.1,Normal
70,905.4,4.2,101,1370,Normal
64,905.2,4.3,85,2089,Normal
57,904.6,3.4,72,2792,Quente
56,904.1,3.4,80,2626,Quente
53,903.3,3,98,2537,Quente
49,902.4,2.9,82,2733,Quente
52,902,3.2,111,1550,Quente
56,901.9,3.8,99,983.1,Quente
61,902.1,3.6,107,201.3,Normal
66,902.7,3.5,113,1.569,Normal
70,903.3,2.5,109,-3.54,Normal
72,903.9,2.7,105,-3.54,Normal
74,904,3.3,107,-3.54,Normal
76,903.9,3.3,90,-3.49,Normal
78,903.9,3.9,105,-3.54,Normal
79,903.8,2.5,89,-3.54,Normal
81,903.3,3.1,99,-3.54,Normal
80,902.9,3.7,96,-3.17,Normal
80,902.7,3.9,103,-3.27,Normal
82,902.8,4,112,-3.37,Normal
83,902.9,2.7,99,-3.54,Normal
82,903.3,3.4,99,75.91,Normal
75,903.8,3,91,623.9,Normal
72,904.3,4.4,88,1270,Normal
63,904.4,4.5,86,2337,Normal
60,904,4.8,78,2913,Normal
58,903.5,3,75,1886,Quente
55,902.6,3.5,85,2533,Quente
55,901.6,1.8,15,1537,Quente
65,900.9,3,5,1001,Normal
64,900.7,3,47,738.3,Normal
92,901.5,4.9,85,88.77,Normal
92,902.3,0.9,123,5.174,Normal
91,902.4,1.5,126,-2.41,Normal
93,902.6,1.8,215,-1.89,Normal
92,903,1.3,102,-2.6,Normal
93,903.3,0.8,268,-2.49,Normal
93,903.1,0.7,210,-3.14,Normal
93,903,0.4,139,-2.5,Normal
93,902.8,0.1,335,-2.53,Normal
93,902.2,0.6,161,-3.22,Normal
92,902.1,2.1,89,-2.16,Normal
88,902,6,119,0.286,Frio
89,901.9,3.9,116,-3.29,Frio
90,902.3,4,118,-2.55,Normal
90,902.9,2.5,101,52.75,Normal
87,903.3,3.3,98,349.4,Normal
80,903.8,4.9,96,1316,Normal
73,903.9,4.8,83,2159,Normal
