@relation inmet_araxa-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2

@attribute umid_inst numeric
@attribute vento_direcao numeric
@attribute vento_vel numeric
@attribute radiacao numeric
@attribute classe {Frio,Normal,Quente}

@data
88,1.4,222,-3.54,Normal
89,0.7,218,-3.54,Normal
89,0,324,-3.53,Normal
90,0.1,228,-3.54,Normal
90,1,175,-3.54,Normal
85,2.2,116,-3.54,Normal
85,1.1,93,-3.54,Normal
84,0.5,111,-3.54,Normal
84,0.3,41,-3.54,Normal
85,2.4,110,-3.54,Normal
85,3.3,96,64.3,Normal
87,4.4,97,598.7,Normal
80,4,86,1301,Normal
71,3,68,2014,Normal
71,2.5,12,1928,Normal
59,2,338,2745,Quente
56,2.1,345,2817,Quente
55,1.5,34,1917,Quente
56,2.5,36,2329,Quente
77,4.7,174,1154,Normal
76,3.6,101,348.1,Normal
78,1.7,168,214.3,Normal
72,2.9,118,2.683,Normal
80,0.5,203,-3.05,Normal
83,2.3,12,-3.13,Normal
87,1.6,140,-3.28,Normal
88,0.4,314,-1.11,Normal
88,0,317,-3.39,Normal
87,1.7,76,-3.36,Normal
87,2,95,-2.63,Normal
87,3.7,110,-1.18,Normal
86,4.6,113,-0.64,Normal
88,3.1,76,-3.53,Normal
89,3.1,98,-3.54,Normal
88,3.6,88,53.36,Normal
83,3.4,84,657.6,Normal
75,3.4,77,1608,Normal
73,4.7,79,1562,Normal
67,4.1,74,1623,Normal
64,2.8,88,2855,Quente
59,3.2,104,2865,Quente
56,3.5,115,2679,Quente
55,4.1,99,2470,Quente
52,3.9,103,2059,Quente
54,3.4,107,1246,Quente
60,2.3,103,371.7,Quente
64,2.1,129,-1.13,Normal
69,2.7,113,-3.54,Normal
74,2.2,111,-3.54,Normal
76,3.2,112,-3.54,Normal
77,2.9,109,-3.54,Normal
76,3.1,101,-3.54,Normal
79,4,100,-3.54,Normal
81,3.5,99,-3.54,Normal
84,4.3,93,-3.54,Normal
86,3.8,102,-3.54,Normal
86,4.1,104,-3.54,Normal
85,4.1,101,-3.54,Normal
85,3.4,102,42.38,Normal
78,4.7,92,680.6,Normal
72,7,95,1644,Normal
65,7,65,2429,Normal
60,4.9,49,2758,Normal
60,4.7,88,2638,Quente
53,4.6,82,2476,Quente
54,4.4,94,2309,Quente
52,4.5,74,2802,Quente
56,3.4,98,1973,Quente
57,3.6,95,1001,Quente
61,3.2,99,380.1,Normal
69,3,102,1.123,Normal
71,3.2,113,-3.54,Normal
74,3.3,111,-3.54,Normal
75,3.7,113,-3.54,Normal
76,3.7,101,-3.54,Normal
78,3.6,95,-3.54,Normal
79,3.5,96,-3.54,Normal
80,3.4,89,-3.54,Normal
85,3.8,106,-3.54,Normal
86,3.4,94,-3.54,Normal
85,3.9,93,-3.54,Normal
86,3.8,95,-3.54,Normal
83,2.5,75,59.72,Normal
77,3.6,104,744.8,Normal
68,2.8,66,1641,Normal
61,3.3,77,2369,Normal
57,3.3,51,2747,Quente
51,2.3,57,3220,Quente
48,2.7,344,2875,Quente
45,2.1,50,3202,Quente
44,1.4,37,2505,Quente
45,0.9,254,2286,Quente
47,1.2,237,1359,Quente
50,0.2,230,374.5,Quente
57,0,30,-1.67,Quente
62,1.5,184,-3.54,Normal
64,2.2,103,-3.54,Normal
69,3,107,-3.54,Normal
70,1.9,81,-3.51,Normal
74,2.9,102,-3.54,Normal
76,1.9,101,-3.54,Normal
77,2.3,116,-3.54,Normal
76,2.2,105,-3.54,Normal
79,0.7,102,-3.54,Normal
79,0.8,119,-3.54,Normal
79,0.7,183,-3.54,Normal
79,0.4,44,65.45,Normal
65,2.8,105,779.4,Normal
58,2.3,71,1614,Normal
55,2.1,20,2353,Quente
51,2,76,2983,Quente
52,1.9,291,2374,Quente
43,1.8,302,2971,Quente
41,1.9,263,2868,Quente
40,1.3,70,2632,Quente
44,1.5,263,1257,Quente
42,1,297,986.2,Quente
55,1.1,280,340.3,Quente
70,2.4,266,-0.07,Normal
71,1.6,226,-3.54,Normal
69,1.3,190,-3.54,Normal
67,1.9,169,-3.54,Normal
65,1.5,149,-3.54,Normal
63,2.8,110,-3.54,Normal
62,2.2,109,-3.54,Normal
62,2.2,106,-3.54,Normal
66,0.8,117,-3.54,Normal
64,1.5,94,-3.54,Normal
67,1.6,119,-3.54,Normal
68,1.4,109,-3.54,Normal
65,1.5,107,55.29,Normal
59,1.2,75,716.1,Normal
57,1.7,4,1591,Normal
56,2.2,317,2325,Quente
53,2.4,293,2867,Quente
46,2.1,286,3305,Quente
46,1.7,235,3151,Quente
35,1.7,321,2704,Quente
39,1.8,244,2168,Quente
46,0.6,238,796.4,Quente
42,1.1,208,1151,Quente
49,1.1,217,319.1,Quente
48,1.5,173,-2.59,Quente
50,1.4,177,-3.54,Normal
57,0.3,66,-3.54,Normal
58,0,105,-3.54,Normal
60,0.2,135,-3.54,Normal
62,0.5,117,-3.54,Normal
66,1.1,121,-3.54,Normal
66,1.2,97,-3.54,Normal
72,1.1,119,-3.54,Normal
71,1.3,107,-3.54,Normal
71,0.7,131,-3.52,Normal
72,1.3,105,-3.52,Normal
78,0.4,18,59.72,Normal
79,1.1,215,632.1,Normal
62,0.7,221,1505,Normal
53,1.5,316,2238,Quente
46,1.3,300,2594,Quente
37,1.8,236,3118,Quente
40,1.7,266,3243,Quente
37,2.1,214,2942,Quente
39,1.7,235,2573,Quente
37,1.3,255,1852,Quente
54,3.2,309,571.2,Quente
64,2.4,228,122.7,Normal
67,2.4,207,-2.81,Normal
73,1,279,-1.31,Normal
80,1.7,254,-3.05,Normal
83,2.1,281,-3.54,Normal
85,1.1,252,-3.53,Normal
81,1.4,197,-3.33,Normal
83,2.1,231,-3.54,Normal
85,0.2,275,-3.54,Normal
86,0.4,21,-3.54,Normal
87,0,90,-3.54,Normal
87,0.7,105,-3.54,Normal
90,0.2,182,-3.54,Normal
91,0.7,239,61.32,Normal
82,0.9,271,646.9,Normal
76,1.3,286,1460,Normal
65,1.5,353,2166,Quente
55,1.9,341,2712,Quente
54,2.5,292,2956,Quente
47,2.5,337,2892,Quente
52,1.6,238,1986,Quente
85,3.9,162,125.7,Normal
81,3.4,87,78.49,Normal
87,1.4,108,42.89,Normal
88,0.9,3,15.23,Normal
90,0.1,166,-3.11,Normal
90,3,201,-3.46,Normal
86,1.6,192,-2.62,Normal
85,0.5,21,-3.5,Normal
86,2,69,-3.54,Normal
87,1.6,71,-3.53,Normal
86,2.2,91,-3.16,Normal
86,0.9,121,-2.63,Normal
88,0.1,164,-3.1,Normal
87,1.9,22,-3.54,Normal
88,1.6,89,-3.54,Normal
87,2.8,87,-3.54,Normal
86,2.7,91,51.62,Normal
82,3.5,80,627.3,Normal
76,3.3,70,1508,Normal
70,3.4,42,2183,Normal
68,2.1,51,2288,Normal
63,1.8,12,1911,Quente
58,2.5,314,2198,Quente
67,2.7,51,2206,Quente
77,3.1,47,922.5,Normal
76,5.2,84,1599,Normal
78,4.2,156,537.9,Normal
81,2.3,240,64.5,Normal
81,1.3,108,-2.81,Normal
85,1.9,288,-3.52,Normal
86,1.4,14,-3.52,Normal
90,0.8,250,-3.41,Normal
90,0.7,225,-3.31,Normal
89,1,113,-3.44,Normal
89,1.1,117,-3.54,Normal
88,1.7,67,-3.53,Normal
89,2.7,99,-3.3,Normal
90,2.3,99,-3.53,Normal
89,2.5,91,-3.54,Normal
89,3.5,84,-3.54,Normal
90,2.9,79,43.62,Normal
86,3,58,497.9,Normal
81,2.9,40,854.9,Normal
77,3.8,20,1246,Normal
70,3.5,18,1774,Normal
65,3.5,15,2232,Normal
64,1.8,352,1597,Quente
63,2.6,17,914.9,Quente
74,5.1,7,1763,Normal
71,2.1,61,801.4,Normal
64,2.7,66,1163,Normal
72,1,99,165.1,Normal
73,1,95,-2.46,Normal
74,1.6,100,-3.54,Normal
77,1,99,-3.54,Normal
78,1.1,89,-3.54,Normal
80,1.3,99,-3.53,Normal
80,0.6,97,-3.07,Normal
83,1.2,88,-3.54,Normal
83,0.9,102,-3.47,Normal
84,0.3,130,-2.8,Normal
85,0.7,182,-3.01,Normal
86,1.6,195,-2.61,Normal
84,1.7,163,-2.53,Normal
86,1.8,202,46.97,Normal
84,3.1,198,194.8,Normal
69,2.3,87,1404,Normal
64,2.4,351,2315,Quente
65,2.2,348,2385,Quente
61,2.5,315,1906,Quente
56,1.8,333,2450,Quente
49,2.6,271,3567,Quente
64,2.9,203,1866,Quente
56,2,197,946.2,Quente
63,3.2,40,1099,Quente
66,1.2,48,237,Quente
83,2.4,244,-3.23,Normal
83,0.5,66,-3.54,Normal
82,0.3,115,-3.54,Normal
80,0.9,62,-3.54,Normal
84,0,234,-3.54,Normal
87,1.1,176,-3.54,Normal
83,1,89,-3.54,Normal
89,0.5,247,-3.54,Normal
91,0.6,201,-3.53,Normal
89,0.3,110,-3.53,Normal
89,0.1,239,-3.54,Normal
86,2.3,121,-3.54,Normal
85,2.1,97,35.86,Normal
83,2.5,91,396.6,Normal
76,3.1,69,932.3,Normal
73,3.1,53,1499,Normal
67,2.9,27,1684,Normal
61,1.8,337,1416,Quente
57,3.2,349,2979,Quente
77,3.4,92,1157,Normal
86,3.4,184,463.2,Normal
94,1.5,226,81.61,Normal
93,1.3,160,134.4,Normal
90,1.7,217,68.3,Normal
93,2.1,213,-2.44,Normal
88,1.5,182,-3.24,Normal
85,0.2,149,-3.11,Normal
82,2.1,136,-2.04,Normal
82,1.4,178,-0.06,Normal
82,1.5,135,-1.35,Normal
86,3.7,108,-3.27,Normal
86,5.2,116,-2.65,Normal
84,4.3,100,-3.34,Normal
